pid,gender,rank,rank_s,rank_cj,name,born,nation,category,bweight,snatch1,snatch2,snatch3,snatch,jerk1,jerk2,jerk3,jerk,total,event,date
197,m,17,---,---,KATOATAU David,17.07.1984,KIR,94,93.32,135,*140,140,140,185,*190,*190,185,325,XXX OLYMPIC GAMES,07.2012
198,m,18,---,---,PAVON FUNES Cristopher Joel,18.04.1993,HON,94,93.20,130,135,140,140,170,177,180,180,320,XXX OLYMPIC GAMES,07.2012
199,m,19,---,---,ANTTIROIKO Miika Matias,20.11.1988,FIN,94,93.63,*140,*140,140,140,*180,180,*185,180,320,XXX OLYMPIC GAMES,07.2012
200,m,20,---,---,GREEFF Jean,17.04.1990,RSA,94,93.32,130,137,*141,137,170,*175,176,176,313,XXX OLYMPIC GAMES,07.2012
201,m,---,---,---,KASABIJEW Arsen,15.11.1987,POL,94,93.56,170,*174,*174,170,---,---,---,---,0,XXX OLYMPIC GAMES,07.2012
202,m,1,---,---,TOROKHTIY Oleksiy,22.05.1986,UKR,105,104.31,185,*190,*190,185,222,*226,227,227,412,XXX OLYMPIC GAMES,07.2012
203,m,2,---,---,NASIRSHELAL Navab,01.04.1989,IRI,105,104.41,*183,*183,184,184,222,227,*229,227,411,XXX OLYMPIC GAMES,07.2012
204,m,3,---,---,BONK Bartlomiej Wojciech,11.10.1984,POL,105,104.01,185,188,190,190,*219,220,*225,220,410,XXX OLYMPIC GAMES,07.2012
205,m,4,---,---,NURUDINOV Ruslan,24.11.1991,UZB,105,102.04,184,*188,*190,184,220,*226,*226,220,404,XXX OLYMPIC GAMES,07.2012
206,m,5,---,---,EFREMOV Ivan,09.03.1986,UZB,105,103.83,175,179,183,183,213,218,*225,218,401,XXX OLYMPIC GAMES,07.2012
207,m,6,---,---,JUGHELI Ahed,10.10.1982,SYR,105,104.98,172,180,*184,180,*215,218,*225,218,398,XXX OLYMPIC GAMES,07.2012
208,m,7,---,---,PLESNIEKS Arturs,21.01.1992,LAT,105,103.69,167,171,175,175,208,215,*225,215,390,XXX OLYMPIC GAMES,07.2012
209,m,8,---,---,ARROYO VALDEZ Jorge David,23.09.1991,ECU,105,103.96,175,180,185,185,*200,200,*208,200,385,XXX OLYMPIC GAMES,07.2012
210,m,9,---,---,SPIESS Jurgen Christian,26.03.1984,GER,105,104.45,167,172,*175,172,197,202,*214,202,374,XXX OLYMPIC GAMES,07.2012
211,m,10,---,---,TAGIROV Sergiy,02.01.1989,UKR,105,104.72,166,171,174,174,200,*207,*208,200,374,XXX OLYMPIC GAMES,07.2012
212,m,11,---,---,TESOVIC Martin,20.10.1974,SVK,105,104.19,162,167,*170,167,190,*196,196,196,363,XXX OLYMPIC GAMES,07.2012
213,m,12,---,---,ZAICHIKOV Alexandr,17.08.1992,KAZ,105,94.74,155,*165,*165,155,195,201,205,205,360,XXX OLYMPIC GAMES,07.2012
214,m,13,---,---,GARCIA  BUSTOS Jorge Eduardo,22.04.1987,CHI,105,104.41,*150,150,*161,150,*191,*191,191,191,341,XXX OLYMPIC GAMES,07.2012
215,m,14,---,---,BIDANI Walid,11.06.1994,ALG,105,101.45,*160,160,*165,160,*180,*180,180,180,340,XXX OLYMPIC GAMES,07.2012
216,m,---,---,---,MACHAVARIANI Gia,26.02.1985,GEO,105,103.86,*185,*185,185,185,*220,*220,*225,---,0,XXX OLYMPIC GAMES,07.2012
217,m,---,---,---,KIM Wha Sung,22.06.1985,KOR,105,104.55,*178,*178,*178,---,---,---,---,---,0,XXX OLYMPIC GAMES,07.2012
218,m,---,---,---,DOLEGA Marcin,18.07.1982,POL,105,104.01,*190,*190,*190,---,---,---,---,---,0,XXX OLYMPIC GAMES,07.2012
219,w,1,---,---,ZHOU Lulu,19.03.1988,CHN,p75,130.83,142,*146,146,146,181,187,*190,187,333,XXX OLYMPIC GAMES,07.2012
220,w,2,---,---,KASHIRINA Tatiana,24.01.1991,RUS,p75,102.31,144,149,151,151,175,181,*187,181,332,XXX OLYMPIC GAMES,07.2012
221,w,3,---,---,KHURSHUDYAN Hripsime,27.07.1987,ARM,p75,87.58,124,128,*132,128,158,*166,166,166,294,XXX OLYMPIC GAMES,07.2012
222,w,4,---,---,JANG Mi-ran,09.10.1983,KOR,p75,118.07,120,125,*129,125,158,164,*170,164,289,XXX OLYMPIC GAMES,07.2012
223,w,5,---,---,RAMADAN MOHAMED Nahla,04.04.1985,EGY,p75,105.51,122,*125,*125,122,150,155,*158,155,277,XXX OLYMPIC GAMES,07.2012
224,w,6,---,---,OPELOGE Ele,11.07.1985,SAM,p75,124.89,117,*122,*122,117,145,150,*155,150,267,XXX OLYMPIC GAMES,07.2012
225,w,7,---,---,ROBLES Sarah Elizabeth,01.08.1988,USA,p75,124.35,114,*118,120,120,*144,*145,145,145,265,XXX OLYMPIC GAMES,07.2012
226,w,8,---,---,NIEVE ARROYO Oliba Seledina,25.11.1977,ECU,p75,97.43,113,117,*120,117,*138,138,*142,138,255,XXX OLYMPIC GAMES,07.2012
227,w,9,---,---,SHIMAMOTO Mami,24.09.1987,JPN,p75,105.90,103,107,110,110,138,143,*146,143,253,XXX OLYMPIC GAMES,07.2012
228,w,10,---,---,MANGOLD Holley Elizabeth,22.12.1989,USA,p75,157.04,*105,105,*110,105,135,*140,*140,135,240,XXX OLYMPIC GAMES,07.2012
229,w,11,---,---,CAMPOSECO HERNANDEZ Astrid Roxana,27.04.1991,GUA,p75,88.52,87,91,93,93,112,115,*117,115,208,XXX OLYMPIC GAMES,07.2012
230,w,12,---,---,PETERS Luisa Fatiaki Taitapu,27.06.1993,COK,p75,88.58,74,78,82,82,95,100,*105,100,182,XXX OLYMPIC GAMES,07.2012
231,w,13,---,---,AMPOMAH Alberta Boatema ,03.11.1994,GHA,p75,78.53,*70,70,73,73,*97,97,101,101,174,XXX OLYMPIC GAMES,07.2012
232,w,---,---,---,USMAN Maryam,09.11.1990,NGR,p75,120.79,125,129,*133,129,*160,*160,*160,---,0,XXX OLYMPIC GAMES,07.2012
233,m,1,---,---,SALIMIKORDASIABI Behdad,08.12.1989,IRI,p105,168.19,201,205,208,208,247,*264,---,247,455,XXX OLYMPIC GAMES,07.2012
234,m,2,---,---,ANOUSHIRAVANI HAMLABAD Sajjad,12.05.1984,IRI,p105,152.46,198,*204,204,204,237,245,*251,245,449,XXX OLYMPIC GAMES,07.2012
235,m,3,---,---,ALBEGOV Ruslan,26.01.1988,RUS,p105,147.15,198,204,208,208,240,*245,*247,240,448,XXX OLYMPIC GAMES,07.2012
236,m,4,---,---,JEON Sang-Guen,28.02.1981,KOR,p105,157.53,190,*200,*200,190,*246,246,*259,246,436,XXX OLYMPIC GAMES,07.2012
237,m,5,---,---,TURMANIDZE Irakli,13.12.1984,GEO,p105,126.23,192,198,201,201,225,*232,232,232,433,XXX OLYMPIC GAMES,07.2012
238,m,6,---,---,SHYMECHKO Ihor,27.05.1986,UKR,p105,137.38,*197,197,*200,197,225,232,*237,232,429,XXX OLYMPIC GAMES,07.2012
239,m,7,---,---,ORSAG Jiri,05.01.1989,CZE,p105,128.15,182,187,*190,187,231,239,*242,239,426,XXX OLYMPIC GAMES,07.2012
240,m,8,---,---,VELAGIC Almir,22.08.1981,GER,p105,141.41,186,190,192,192,229,234,*238,234,426,XXX OLYMPIC GAMES,07.2012
241,m,9,---,---,ZHARNASEK Yauheni,09.08.1987,BLR,p105,147.37,188,193,196,196,219,225,230,230,426,XXX OLYMPIC GAMES,07.2012
242,m,10,---,---,CHEN Shih-Chieh,27.11.1989,TPE,p105,141.14,177,182,*185,182,230,236,*240,236,418,XXX OLYMPIC GAMES,07.2012
243,m,11,---,---,NAGY Peter,16.01.1986,HUN,p105,155.55,184,191,*196,191,216,225,*230,225,416,XXX OLYMPIC GAMES,07.2012
244,m,12,---,---,SARAIVA REIS Fernando,10.03.1990,BRA,p105,140.49,178,180,*186,180,220,*225,---,220,400,XXX OLYMPIC GAMES,07.2012
245,m,13,---,---,OTA Kazuomi,01.07.1986,JPN,p105,146.51,180,*184,185,185,*215,215,*222,215,400,XXX OLYMPIC GAMES,07.2012
246,m,14,---,---,DETENAMO Itte,22.09.1986,NRU,p105,151.32,165,170,175,175,205,*215,215,215,390,XXX OLYMPIC GAMES,07.2012
247,m,15,---,---,LOPEZ BOBADILLA Christian Alberto,30.03.1984,GUA,p105,139.15,172,*177,*177,172,*209,209,215,215,387,XXX OLYMPIC GAMES,07.2012
248,m,16,---,---,KELLY Damon Joseph,01.12.1983,AUS,p105,150.83,155,160,165,165,192,201,216,216,381,XXX OLYMPIC GAMES,07.2012
249,m,17,---,---,FOKEJOU TEFOT Frederic,03.12.1979,CMR,p105,132.74,150,155,160,160,190,*200,202,202,362,XXX OLYMPIC GAMES,07.2012
250,m,18,---,---,CARL Henriquez,08.08.1979,ARU,p105,150.38,115,122,*127,122,*160,160,*171,160,282,XXX OLYMPIC GAMES,07.2012
251,m,---,---,---,STEINER Matthias,25.08.1982,GER,p105,149.98,192,*196,*197,192,---,---,---,---,0,XXX OLYMPIC GAMES,07.2012
